Layer	Material	n	d (nm)
Medium	SiO2	1.45	1000
1	Ta2O5	2.09	124.13
2	SiO2	1.46	175.47
3	Ta2O5	2.09	132.59
4	SiO2	1.46	178.68
5	Ta2O5	2.09	133.64
6	SiO2	1.46	184.76
7	Ta2O5	2.09	115.59
8	SiO2	1.46	172.34
9	Ta2O5	2.09	129.59
10	SiO2	1.46	164.08
11	Ta2O5	2.09	111.21
12	SiO2	1.46	154.75
13	Ta2O5	2.09	117.84
14	SiO2	1.46	168.51
15	Ta2O5	2.09	115.19
16	SiO2	1.46	174.29
17	Ta2O5	2.09	115.36
18	SiO2	1.46	170.25
19	Ta2O5	2.09	105.27
20	SiO2	1.46	170.29
21	Ta2O5	2.09	105.01
22	SiO2	1.46	166.26
23	Ta2O5	2.09	109.31
24	SiO2	1.46	169.05
25	Ta2O5	2.09	115.8
26	SiO2	1.46	162.8
27	Ta2O5	2.09	118.37
28	SiO2	1.46	177.77
29	Ta2O5	2.09	119.62
30	SiO2	1.46	159.75
31	Ta2O5	2.09	116.42
32	SiO2	1.46	175.72
33	Ta2O5	2.09	125.73
34	SiO2	1.46	182.1
35	Ta2O5	2.09	122.59
36	Scatter(l)		0.5
37	SiO2	1.46	168.45
38	Ta2O5	2.09	128.11
39	Scatter(l)		0.5
40	SiO2	1.46	184.38
41	Ta2O5	2.09	113.42
42	Scatter(l)		0.5
43	SiO2	1.46	175.89
44	Ta2O5	2.09	132.57
45	Scatter(l)		0.5
46	SiO2	1.46	171.29
47	Ta2O5	2.09	167.07
48	Scatter(l)		0.5
49	SiO2	1.46	170.41
50	Vacuum-gap	1	x
51	Al2O3	1.65	10
52	GaAs	3.49	55.82
53	GaAs(p++)	3.49	18.98
54	GaAs(p+)	3.49	4.75
55	GaAs	3.49	4.75
56	AlGaAs	3.32	183.32
57	GaAs	3.49	7.07
58	GaAs(QDs)	3.49	1.07
59	GaAs	3.49	28.91
60	GaAs(n+)	3.49	38.94
61	GaAs	3.49	66.26
62	AlAs	2.92	80.76
63	GaAs	3.49	63.22
64	AlAs	2.92	79.16
65	GaAs	3.49	63.23
66	AlAs	2.92	79.17
67	GaAs	3.49	63.25
68	AlAs	2.92	79.17
69	GaAs	3.49	63.26
70	AlAs	2.92	80.06
71	GaAs	3.49	64.56
72	AlAs	2.92	80.76
73	GaAs	3.49	64.57
74	AlAs	2.92	80.76
75	GaAs	3.49	64.59
76	AlAs	2.92	79.84
77	GaAs	3.49	63.48
78	AlAs	2.92	79.17
79	GaAs	3.49	63.34
80	AlAs	2.92	79.17
81	GaAs	3.49	63.35
82	AlAs	2.92	79.18
83	GaAs	3.49	63.39
84	AlAs	2.92	79.2
85	GaAs	3.49	63.46
86	AlAs	2.92	79.79
87	GaAs	3.49	64.13
88	AlAs	2.92	80.16
89	GaAs	3.49	64.7
90	AlAs	2.92	80.18
91	GaAs	3.49	64.2
92	AlAs	2.92	79.98
93	GaAs	3.49	63.95
94	AlAs	2.92	79.77
95	GaAs	3.49	63.74
96	AlAs	2.92	79.43
97	GaAs	3.49	63.97
98	AlAs	2.92	79.76
99	GaAs	3.49	64.18
100	AlAs	2.92	79.99
101	GaAs	3.49	64.47
102	AlAs	2.92	80.52
103	GaAs	3.49	64.81
104	AlAs	2.92	80.58
105	GaAs	3.49	64.82
106	AlAs	2.92	80.75
107	GaAs	3.49	64.84
108	AlAs	2.92	80.76
109	GaAs	3.49	64.15
110	AlAs	2.92	79.88
111	GaAs	3.49	63.75
112	AlAs	2.92	79.54
113	GaAs	3.49	63.97
114	AlAs	2.92	80.05
115	GaAs	3.49	64.9
116	AlAs	2.92	80.76
117	GaAs	3.49	64.91
118	AlAs	2.92	80.76
119	GaAs	3.49	64.93
120	AlAs	2.92	80.76
121	GaAs	3.49	64.95
122	AlAs	2.92	79.65
123	GaAs	3.49	63.67
124	AlAs	2.92	79.17
125	GaAs	3.49	63.69
126	AlAs	2.92	79.21
127	GaAs	3.49	63.98
128	AlAs	2.92	80.76
129	GaAs	3.49	65.01
130	AlAs	2.92	80.76
131	GaAs	3.49	65.02
132	AlAs	2.92	80.76
133	GaAs	3.49	65.04
134	AlAs	2.92	80.76
135	GaAs	3.49	64.98
136	AlAs	2.92	79.82
137	GaAs	3.49	63.78
138	AlAs	2.92	79.17
139	GaAs	3.49	63.8
140	AlAs	2.92	79.17
141	GaAs	3.49	63.81
142	AlAs	2.92	79.17
143	GaAs	3.49	64.91
144	AlAs	2.92	80.76
145	GaAs	3.49	65.13
146	AlAs	2.92	80.76
147	GaAs	3.49	65.15
148	AlAs	2.92	80.76
149	GaAs	3.49	65.16
150	AlAs	2.92	80.25
151	GaAs	3.49	63.89
152	AlAs	2.92	79.17
153	GaAs	3.49	63.9
Substrate	GaAs	3.51	
